datetime,open,high,low,close,volume,eth_close_asset_volume,eth_number_of_trades,eth_taker_buy_base_asset_vol,eth_maker_buy_base_asset_vol,eth_bb_high,eth_bb_low,eth_rsi_14,eth_rsi_6,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_close_asset_volume,btc_number_of_trades,btc_taker_buy_base_asset_vol,btc_maker_buy_base_asset_vol,btc_bb_high,btc_bb_low,btc_rsi_14,btc_rsi_6
2023-04-18 00:00:00,2074.31,2076.67,2073.5,2076.03,66.0348,137028.552256,157,36.2851,75298.779015,1887.9224698000141,1869.0658014358587,49.20815817660606,49.33130655934223,29429.64,29456.3,29417.2,29443.56,5.63476,165880.6899107,150,3.56223,104878.9535244,28376.375280296703,28108.567544347847,49.40238792552319,49.47342802914302
2023-04-18 00:15:00,2075.94,2077.17,2072.58,2073.93,89.5963,185911.908719,196,47.1322,97794.767822,1887.9224698000141,1869.0658014358587,49.20815817660606,49.33130655934223,29444.72,29444.72,29388.16,29395.61,22.21329,653436.6890221,373,9.31799,274091.6181262,28376.375280296703,28108.567544347847,49.40238792552319,49.47342802914302
2023-04-18 00:30:00,2073.91,2076.15,2067.92,2071.63,175.0152,362504.936621,413,82.4368,170757.484701,1887.9224698000141,1869.0658014358587,49.20815817660606,49.33130655934223,29396.77,29431.28,29284.71,29330.81,45.79979,1344430.0949997,881,21.87035,642102.0634739,28376.375280296703,28108.567544347847,49.40238792552319,49.47342802914302
2023-04-18 00:45:00,2071.15,2074.79,2070.86,2073.96,79.2906,164357.339881,152,39.9742,82859.549696,1887.9224698000141,1869.0658014358587,49.20815817660606,49.33130655934223,29331.15,29374.53,29324.14,29367.76,18.78124,551244.6335272,305,10.08305,295965.091757,28376.375280296703,28108.567544347847,49.40238792552319,49.47342802914302
2023-04-18 01:00:00,2074.26,2074.93,2061.12,2063.73,236.0388,487708.914099,481,116.595,240888.955866,1887.9224698000141,1869.0658014358587,49.20815817660606,49.33130655934223,29368.85,29379.58,29167.12,29208.87,40.86834,1196339.1935387,953,18.18012,532179.0923273,28376.375280296703,28108.567544347847,49.40238792552319,49.47342802914302
2023-04-18 01:15:00,2063.92,2067.24,2051.8,2067.24,609.2009,1255957.863243,1109,279.8166,576929.131817,1887.9224698000141,1869.0658014358587,49.20815817660606,32.05674744089403,29202.72,29283.0,29095.3,29275.94,72.32748,2112675.667212,1426,35.73209,1043722.3108725,28376.375280296703,28108.567544347847,49.40238792552319,32.44997329131252
2023-04-18 01:30:00,2067.24,2074.34,2066.62,2073.22,199.4876,412990.427316,400,103.571,214418.423161,1887.9224698000141,1869.0658014358587,49.20815817660606,53.096961117017536,29286.97,29415.61,29273.99,29388.1,58.97518,1730493.6112721,1127,31.73531,931245.7205194,28376.375280296703,28108.567544347847,49.40238792552319,54.07862729603264
2023-04-18 01:45:00,2073.83,2076.06,2072.62,2072.86,102.3813,212352.329316,211,57.5911,119454.682518,1887.9224698000141,1869.0658014358587,49.20815817660606,51.93511797744024,29397.29,29402.35,29367.49,29370.43,24.85082,730145.328534,499,10.74684,315785.3294501,28376.375280296703,28108.567544347847,49.40238792552319,50.99198916514158
2023-04-18 02:00:00,2073.37,2077.48,2072.47,2074.09,123.4378,256065.654465,277,53.3003,110573.638988,1887.9224698000141,1869.0658014358587,49.20815817660606,55.892216998155185,29376.01,29439.25,29374.35,29418.64,25.74512,757024.0451278,450,17.21794,506259.9292065,28376.375280296703,28108.567544347847,49.40238792552319,58.70822418098907
2023-04-18 02:15:00,2074.26,2079.57,2074.01,2077.47,73.4871,152665.037972,214,37.0143,76901.881083,2080.156316272608,2064.6756837273924,49.20815817660606,65.30995723564061,29419.76,29467.92,29401.1,29430.72,17.75522,522746.3335496,361,7.51238,221168.9293506,29502.06152902422,29224.026470975783,49.40238792552319,60.5747084484755
2023-04-18 02:30:00,2077.44,2084.36,2076.88,2082.54,161.776,336731.111067,350,80.7431,168051.149775,2082.7618978333967,2063.3721021666033,49.20815817660606,74.94091042159809,29422.89,29477.7,29415.6,29469.39,11.13181,327871.2694941,244,6.34097,186765.4167143,29511.33164647361,29219.92235352639,49.40238792552319,66.40767310041068
2023-04-18 02:45:00,2082.59,2083.79,2079.49,2080.78,95.4572,198704.251391,199,37.9949,79102.928321,2084.5043199357165,2062.9996800642834,49.20815817660606,67.17234381984949,29468.34,29492.59,29444.74,29466.7,14.89997,439073.4585827,278,6.69691,197390.6066567,29530.071313569453,29215.40068643054,49.40238792552319,65.59753085854999
2023-04-18 03:00:00,2080.77,2081.76,2079.56,2080.83,60.5145,125905.951376,113,25.2038,52443.811819,2086.0941216943265,2063.2498783056735,49.20815817660606,67.28794661034674,29461.6,29492.31,29451.76,29492.31,8.07885,238109.6004222,195,5.15618,151984.2725005,29558.376919213984,29219.395080786027,49.40238792552319,69.8058134275085
2023-04-18 03:15:00,2080.45,2081.22,2078.04,2078.74,81.1487,168747.795518,164,41.8177,86968.90106,2086.8105145684062,2063.489485431594,56.20455935118756,57.18658078097773,29486.01,29501.95,29443.53,29458.15,12.75008,375816.4568026,339,6.2633,184663.6241563,29571.536160758747,29224.31383924125,55.137819463800476,58.375999983053916
2023-04-18 03:30:00,2078.79,2081.81,2078.39,2081.81,30.4076,63253.237474,77,16.0116,33309.297105,2086.3637335705416,2067.5522664294585,61.31121357612714,66.14512390215384,29458.15,29483.3,29447.0,29483.3,6.40839,188798.8088256,143,4.04526,119193.5182975,29550.85585273483,29299.88014726517,58.00844695482246,63.63636851518242
2023-04-18 03:45:00,2081.77,2081.95,2079.09,2080.01,37.1494,77287.460879,96,19.4803,40528.047611,2085.15561991443,2071.314380085569,57.10672100602153,57.65677542401579,29483.19,29483.19,29441.25,29444.2,4.78435,140925.9204524,138,1.82547,53771.809056,29518.51641411275,29365.87158588725,52.39523192561898,51.495230894752794
2023-04-18 04:00:00,2079.82,2080.37,2078.19,2078.81,34.1793,71065.044999,101,16.6799,34682.740539,2084.853473244434,2072.7345267555656,54.42704753184376,52.288648562743965,29444.11,29455.93,29439.4,29446.96,3.16924,93327.6309411,121,1.39582,41108.3615901,29515.349253600718,29380.81074639928,52.74285208660128,52.266648407193046
2023-04-18 04:15:00,2078.27,2082.54,2077.66,2080.3,63.2797,131645.599494,131,30.6892,63838.840064,2084.155937201827,2074.920062798173,57.11772811512964,58.10112318983546,29451.28,29493.93,29436.5,29459.74,10.53672,310479.1652619,239,4.53856,133746.2760634,29500.007216996357,29414.01478300364,54.40318606351033,56.14237538613464
2023-04-18 04:30:00,2080.33,2083.74,2079.71,2083.26,87.3252,181831.870701,175,49.5802,103243.566874,2083.865398803662,2077.0446011963386,61.92683162424586,67.53081380949308,29460.63,29513.92,29452.96,29503.54,17.40459,513162.1152014,405,11.2853,332757.5679433,29508.36590354588,29422.63609645412,59.63722453032526,67.12150058301845
2023-04-18 04:45:00,2083.88,2083.89,2080.77,2082.84,59.9577,124855.377305,124,22.217,46266.569901,2084.0232611236943,2077.960738876306,60.88348620481886,65.03849070801354,29509.67,29511.38,29480.3,29497.71,6.58496,194223.2811705,170,1.98025,58410.5399022,29512.061939742034,29432.338060257967,58.67181613358884,64.54082830557353
2023-04-18 05:00:00,2082.84,2086.78,2082.65,2085.75,60.1168,125337.68564,161,34.1325,71161.777304,2085.4207103111125,2077.2052896888877,65.25176532650909,73.24751344701241,29493.4,29519.67,29493.4,29516.79,10.59634,312675.92203,237,5.31405,156817.2717693,29524.80703082495,29429.07296917504,60.90249567233472,69.19258991940764
2023-04-18 05:15:00,2086.86,2088.41,2085.02,2086.34,89.9353,187680.928371,195,42.0449,87747.157326,2086.931745895265,2076.806254104735,66.07887703032318,74.69321462956512,29516.79,29568.64,29495.39,29547.16,24.67649,728781.3419835,500,14.78965,436865.6127965,29547.935952311313,29422.03604768868,64.21351008144262,75.36539012745513
